gene	cc01-20covid1	cc01-20covid2	cc03-19covid	cc03-20covid1	cc03-20covid2	cc01-20mock1	cc01-20mock2	cc03-19mock1	cc03-20mock1	cc03-20mock2
ABCF2	44.86	40.28	26.9	33.74	36.3	19.04	18.48	35.52	29.16	24.9
AHRR	0.24	0.67	1.38	0.16	0.06	1.39	1	2.76	0.46	0.74
ARHGAP11B	2.37	4.02	3.53	0.91	1.83	0.87	1.59	2	1.31	1.38
ARMCX5-GPRASP2	6.45	7.72	5.64	8.05	5.82	6.38	7.3	6.79	9.46	8.07
ATXN7	5.69	8.93	14.3	6.98	7.9	16.48	11.85	7.96	10.43	8.92
C2orf27A	2.56	2.13	3.53	2.3	2.61	1.84	2.68	1.88	1.36	1.13
CCDC39	0.56	0.72	0.28	0.65	0.94	2.38	1.34	0.1	5.36	4.93
DUXAP8	0.6	0.72	0.29	3.42	4.87	0.67	0.61	0.64	4.14	3.3
ECE2	0	0	0	0	0	0	0	0	0	0
GGT1	94.16	90.14	68.42	100.48	85.85	56.04	66.86	97.35	81.88	83.54
GOLGA8M	0	0	0	0	0	0	0.09	0	0	0
GUCA1A	0.14	0	0	0	0	0.2	0.21	0	0.59	0.5
HSPA14	23.09	21.25	17.47	14.73	19.92	11.36	12.81	20.59	16	17.39
ITFG2-AS1	0.14	0.25	0.98	0.5	0	1.85	2.52	0.67	1.25	0.66
LINC01238	0	0.07	0	0	0	0.07	0.11	0	0	0.09
LINC01505	0.1	0.01	0	0	0	0	0	0	0	0
LINC02203	0	0	0	0	0	0	0	0	0	0
MATR3	178.61	176.28	181.61	175.7	193.96	192.98	158.64	171.95	277.52	252.31
PDE11A	0.01	0	0	0	0	0.03	0	0	0	0
PINX1	25.33	23.28	12.28	27.61	22.44	6.2	6.27	22.52	11.57	11.73
POLR2J3	24.41	28.37	42.94	52.95	55.98	53.33	221.05	55.5	140.9	132.88
POLR2J4	9.77	10.96	13.71	11.27	9.29	11.03	5.42	9.19	6.83	7.48
RMRP	1.46	1.06	0.7	0.42	0.21	1.97	0	0.58	0	1.17
SCARNA4	0	0	0	0	0.75	0.69	0.73	1.36	0	0.82
SMIM40	0	0	0	0	0	0	0	0	0	0
SNORA16A	0	0	2.46	0	0	0	0	0.97	0	0
SNORA17B	0	1.37	3.57	0	0	2.79	0	2.49	0	0
SNORA50A	0	0.56	0	0	0	0	0	0	0	0
SNORD38B	0	0	0	0	0	0	0	0	0	0
SNORD3D	0	0	0	0	0	0	0	0	0	0
SOD2	332.74	319.07	407.79	139.05	130.16	320.4	243.94	556.73	245.62	242.3
TBCE	15.16	11.69	11.3	9.32	12.4	13.36	12.53	13.27	13.89	12.7
TMSB15B	1.46	1.9	1.19	3.56	2.78	2.02	2.5	3.16	1.14	2.25
ZNF883	0.96	0.84	1.1	0.87	1.6	1.03	2.92	2.15	2.43	3.98
PAR_Y_CD99	80.45	83.58	85.28	131.44	125.51	75.54	65.93	126.05	106.19	111.99
PAR_Y_VAMP7	21.12	19.2	14.46	22.09	21.23	9.03	8.27	19.51	18.02	15.82
PAR_Y_IL9R	0.1	0.11	0.07	0.02	0.02	0.04	0.05	0.05	0.12	0.05
PAR_Y_PPP2R3B	5.5	7.62	17.33	9.09	10.37	12.63	11.55	4.78	14.74	13.24
PAR_Y_SPRY3	0.06	0.16	0.05	0.06	0.06	0.15	0.1	0.09	0.4	0.19
PAR_Y_DHRSX	24.15	25.15	21.08	19.83	20.01	18.81	19.94	18.36	17.21	19.37
PAR_Y_ASMTL	8.61	7.33	6.89	6.05	5.86	11.92	10.76	10.19	15.32	12.3
PAR_Y_SLC25A6	137.5	137.09	117.43	130.31	128.45	156.84	142.31	216.37	301.42	295.06
PAR_Y_GTPBP6	26.94	28.58	20.27	22.03	21.14	17.65	16.48	23.13	21.79	21.88
PAR_Y_P2RY8	0.05	0	0	0	0	0	0	0	0	0
AR_Y_PLCXD1	4.4	4.2	7.1	3.59	2.7	21.09	16.92	4.93	4.93	4.49
PAR_Y_WASH6P	8.26	8.94	11.16	6.43	6.5	7.79	5.91	5.7	6.32	8.1
PAR_Y_WASIR1	0	0	0	0.09	0	0	0	0	0	0
PAR_Y_IL3RA	0.04	0.06	0.31	0.04	0	0.54	0.2	0.04	0.24	0.11
PAR_Y_SHOX	0	0	0	0	0	0.03	0	0	0	0
PAR_Y_ASMT	0.14	0	0.32	0	0	0	0	0	0	0.09
PAR_Y_AKAP17A	25.25	24.57	70.14	24.47	27.98	53.31	49.21	20.14	35.04	38.87
EPAR_Y_CSF2RA	0	0.03	0.1	0.14	0.13	0	0.18	0.3	0.3	0.78
PAR_Y_CRLF2	0.06	0.01	0	0	0.11	0.1	0.03	0.01	0.01	0
PAR_Y_ZBED1	9.07	8.61	9.13	14.61	13.14	9.62	8.9	8.79	21.61	17.59
PAR_Y_RNA5SP498	0	0	0	0	0	0	0	0	0	0
PAR_Y_TRPC6P	0	0	0	0	0	0	0	0	0	0
PAR_Y_AL683807.1	0	0.04	0	0	0	0	0	0	0.06	0
PAR_Y_DHRSX-IT1	0	0.12	0	0	0.03	0.13	0.03	0	0.36	0.12
PAR_Y_CD99P1	1.73	1.86	13.65	2.72	3.58	4.05	4.44	2.5	5.39	4.93
PAR_Y_RPL14P5	0	0	0	0	0	0	0	0	0	0
PAR_Y_LINC00685	1.42	2.12	3.39	0.33	0.45	10.28	13.89	0.88	2.32	2.69
PAR_Y_DDX11L16	0.05	0	0	0	0	0	0.05	0.02	0	0
PAR_Y_ELOCP24	0	0	0	0	0	0	0	0	0	0
PAR_Y_AL954722.1	0	0	0	0	0	0	0	0	0	0
PAR_Y_KRT18P53	0	0	0	0	0	0	0	0	0	0
PAR_Y_LINC00102	0.12	0.05	1.07	0.09	0.06	0.18	0.12	0.12	0.1	0.21
PAR_Y_AL683807.2	0	0	0	0	0	0	0	0	0	0
PAR_Y_FABP5P13	0	0	0	0	0	0	0	0	0	0
PAR_Y_ASMTL-AS1	0.5	0.43	2.29	0.31	0.32	4.04	3.83	1.35	2.72	2.77
PAR_Y_LINC00106	0.48	0.81	1.33	0.14	0.28	2.33	1.62	0.45	1.46	1.37
PAR_Y_DPH3P2	0	0	0	0	0	0	0	0	0	0
PAR_Y_AL672277.1	0	0	0	0	0	0	0	0	0	0
PAR_Y_AMD1P2	0	0	0	0.02	0.02	0.02	0	0	0	0
PAR_Y_MIR3690	0	0	0	0	0	0	0	0	0	0
PAR_Y_AJ271736.1	0.01	0	0	0.01	0	0	0	0	0	0
PAR_Y_AL732314.1	0	0	0	0	0	0	0	0	0	0
PAR_Y_MIR6089	0	0	0	0	0	0	0	0	0	0
PAR_Y_AL732314.6	0	0.11	0.04	0	0	0.17	0.13	0	0.14	0
PAR_Y_AL732314.8	0.25	0.12	0.49	0.1	0.29	0.27	0.38	0.09	0.1	0.27
virus_E	252.12	608.5	3078.66	520.28	415.47	0	0	0	0	0
virus_M	543.8	1238.2	5739.82	947.69	825.22	0.25	0	0.06	0	0
virus_N	1762.69	4109.58	18426.05	3453.91	2862.68	1.01	0.03	0.31	0.04	0.07
virus_ORF10	1840.22	4499.18	18204.53	4095.55	3049.86	0.87	0	0.85	0	1.03
virus_ORF3a	204.64	449.68	2326.56	381.78	339.21	0.05	0	0.05	0	0
virus_ORF6	353.07	857.47	4056.2	637.68	510.86	0.33	0	0	0	0
virus_ORF7a	862.16	1967	9406.51	1518.72	1316.02	0.13	0	0.13	0.14	0.3
virus_ORF8	976.82	2164.97	9864.34	1656.64	1342.29	0.13	0	0.13	0	0
virus_S	64.95	151.64	869.95	143.35	126.1	0.08	0.01	0.02	0	0
virus_orf1ab	7.45	20.53	154.88	46.7	37.1	0	0	0	0	0
virus_1_261	1360.23	3445.32	11614.42	2896.61	2153.26	0.92	0	0.3	0	0
TSPAN6	58.58	60.25	83.02	111.1	114.56	60.4	80.84	47.95	128.88	131.98
TNMD	0	0	0.06	0	0	0	0	0.23	0	0.04
DPM1	75.73	77.5	63.19	71.29	70.91	55.73	55.01	76.83	77.38	74.97
SCYL3	9.4	9.69	12.56	9.68	10.99	10.56	11.56	8.24	22.28	16.05
C1orf112	9.78	12.79	6.01	7.7	8.58	2.72	2.8	6.32	5.9	3.84
FGR	0.06	0.06	0.1	0	0	0.15	0	0.36	0.13	0.35
CFH	48.66	51.62	57.86	40.72	41.54	102.17	78.45	55.78	68.51	69.45
FUCA2	112.58	113.61	79.19	69.99	76.73	53.05	54.32	105.18	54.48	55.07
GCLC	104.27	103.6	53.17	26.67	30.41	39.97	40.61	134.54	83.41	79.52
NFYA	15.23	16.52	15.9	15.63	13.98	13.38	11.26	12.45	11.03	12.63
STPG1	14.01	13.04	7.78	11.85	15.88	8.1	9.06	13.28	17.13	14.76
NIPAL3	43.71	41.93	42.92	61.98	71.8	43.5	42.97	56.13	52.53	43.95
LAS1L	34.87	33.4	21.52	30.59	31.29	21.19	18.38	38.37	35.39	34.73
ENPP4	15.5	13.73	9.24	2.96	2.73	17.26	14.6	6.41	4.68	4.67
SEMA3F	14.17	15.33	50.45	59.61	76.97	36.75	41.9	60.53	76.4	90.16
CFTR	1.67	2.14	1.8	0.89	1.18	14.33	11.08	2.11	4.51	3.95
ANKIB1	15.36	13.79	10.23	17.59	13.83	7.88	8.3	9.99	13.6	10.36
CYP51A1	317.32	294.07	145.78	315.6	326.61	120.18	107.52	191.71	100.46	97.12
KRIT1	17.26	21.86	15.62	15.64	19.64	28.32	24.16	16.09	24.82	23.84
RAD52	3.06	2.72	3.6	2.44	2.65	6.83	7.91	2.73	7.56	7.38
MYH16	1.32	1.19	0.39	7.06	8.35	0.11	0.25	0.53	0.14	0
BAD	138.99	127.49	100.25	120.79	122.11	104.71	101.76	104.13	123.71	130.12
LAP3	130.63	142.12	152.17	102.4	85.41	48.65	48.45	66.74	62.94	62.69
CD99	80.45	83.58	85.28	131.44	125.51	75.54	65.93	126.05	106.19	111.99
